City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
193,Atasu,48.6814,71.6433,79.63,15,100,9.75,KZ,2022-07-03 15:58:13,overcast clouds
194,Ilulissat,69.2167,-51.1,46.22,57,0,7.9,GL,2022-07-03 15:58:14,clear sky
195,Carnarvon,-24.8667,113.6333,63.07,32,1,11.83,AU,2022-07-03 15:58:14,clear sky
196,Puno,-15.8333,-70.0333,51.37,30,94,6.87,PE,2022-07-03 15:58:14,overcast clouds
197,Codrington,-38.2667,141.9667,50.14,84,81,10.29,AU,2022-07-03 15:58:15,broken clouds
198,Komsomolskiy,40.4272,71.7189,93.92,18,0,0.0,UZ,2022-07-03 15:58:15,clear sky
199,Gulariya,28.2333,81.3333,91.18,61,100,6.15,NP,2022-07-03 15:58:15,overcast clouds
200,Port Elizabeth,-33.918,25.5701,61.11,75,75,8.05,ZA,2022-07-03 15:58:16,broken clouds
201,Tabuk,17.4189,121.4443,76.75,90,100,2.8,PH,2022-07-03 15:58:16,overcast clouds
202,Velizh,55.6056,31.1967,75.4,70,100,3.83,RU,2022-07-03 15:58:17,overcast clouds
203,Mecca,21.4267,39.8261,93.97,19,65,11.86,SA,2022-07-03 15:58:17,broken clouds
204,Linhares,-19.3911,-40.0722,82.63,41,51,4.9,BR,2022-07-03 15:58:17,broken clouds
205,De Aar,-30.6497,24.0123,59.5,47,0,12.08,ZA,2022-07-03 15:58:18,clear sky
206,Panaba,21.2833,-88.2667,92.46,43,0,9.46,MX,2022-07-03 15:58:18,clear sky
207,Palmer,42.1584,-72.3287,80.65,49,82,9.46,US,2022-07-03 15:58:18,broken clouds
208,Georgetown,5.4112,100.3354,84.88,77,20,5.01,MY,2022-07-03 15:53:53,few clouds
209,Biak,-0.9131,122.8766,77.02,87,99,4.92,ID,2022-07-03 15:58:19,overcast clouds
210,Noumea,-22.2763,166.4572,75.0,99,91,9.78,NC,2022-07-03 15:58:19,overcast clouds
211,Manicore,-5.8092,-61.3003,85.95,70,0,4.61,BR,2022-07-03 15:58:19,clear sky
212,Hovd,48.0056,91.6419,56.73,57,43,4.79,MN,2022-07-03 15:58:20,scattered clouds
213,Kahului,20.8947,-156.47,77.85,87,51,8.01,US,2022-07-03 15:57:05,broken clouds
214,High Level,58.5169,-117.136,64.51,68,40,4.61,CA,2022-07-03 15:58:20,scattered clouds
215,Palauig,15.435,119.9045,82.22,80,100,5.14,PH,2022-07-03 15:58:21,overcast clouds
216,Lorengau,-2.0226,147.2712,81.09,81,96,7.74,PG,2022-07-03 15:58:21,overcast clouds
