City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
455,Oyama,JP,86.59,moderate rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
456,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
457,Morgan City,US,88.0,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
458,Puerto Penasco,MX,83.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
459,Luau,AO,82.11,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
460,Mayumba,GA,75.13,broken clouds,-3.432,10.6554,LIKWALE LODGE
461,Piranhas,BR,89.31,broken clouds,-16.4269,-51.8222,Planalto Hotel
463,Porbandar,IN,83.98,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
466,Blagoyevo,RU,70.93,overcast clouds,63.3667,47.9167,
467,Shelbyville,US,84.04,scattered clouds,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
469,Shunyi,CN,73.35,overcast clouds,40.125,116.6453,Beijing Mingchen Holiday Hotel
470,Dalbandin,PK,89.35,scattered clouds,28.8947,64.4101,Sanjrani House
471,Juarez,MX,83.68,scattered clouds,31.7333,-106.4833,Hotel Santa Fe
473,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
474,Bud,US,82.06,clear sky,39.447,-86.1758,Ted McQuinn Trust
475,Jega,NG,95.94,few clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
476,Dubna,RU,80.17,clear sky,56.7333,37.1667,Rezident-Otel'
477,Samarai,PG,81.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
480,Parrita,CR,81.84,broken clouds,9.5201,-84.3225,Beso del Viento
481,Jardim,BR,88.65,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
484,Belmonte,BR,78.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
486,Sisophon,KH,77.34,overcast clouds,13.5859,102.9737,Pyramid Hotel
488,Dunda,TZ,76.96,clear sky,-8.1167,34.25,
489,Margate,GB,71.69,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
491,Cabedelo,BR,74.07,light rain,-6.9811,-34.8339,Pousada Camboinha
492,Hobyo,SO,77.92,broken clouds,5.3505,48.5268,Iftin hotel hobyo
494,Kishi,NG,83.59,light rain,9.0833,3.85,New NCCF KISI
497,Ryotsu,JP,74.32,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
498,Clovis,US,72.66,few clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
501,Caranavi,BO,75.34,overcast clouds,-15.8167,-67.55,Hotel LANDIVAR
502,Honolulu,US,75.96,light rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
504,Siaya,KE,70.5,scattered clouds,0.0612,34.2882,Siala Apartments
507,Awjilah,LY,99.93,clear sky,29.1081,21.2869,المنزل
508,Palmer,US,76.44,broken clouds,42.1584,-72.3287,Wedgewood Motel
510,Kupang,ID,77.77,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
511,Aripuana,BR,91.63,clear sky,-9.1667,-60.6333,
514,Atchison,US,75.31,scattered clouds,39.563,-95.1216,"Quality Inn, Atchison"
515,Rtishchevo,RU,70.05,broken clouds,52.2604,43.7874,Inn on 50 Let Oktyabrya 19
516,Biltine,TD,94.86,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
518,Teguise,ES,75.42,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
519,Kindu,CD,93.36,scattered clouds,-2.95,25.95,Résidence Okanda
521,Myitkyina,MM,77.27,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
522,Lulea,SE,71.67,clear sky,65.5842,22.1547,Comfort Hotel Arctic
525,Abu Samrah,SY,94.21,clear sky,35.3029,37.1841,
526,Orasac,BA,85.86,clear sky,44.6289,16.0711,Guesthouse Huco & Rasema
527,Salina Cruz,MX,87.15,overcast clouds,16.1667,-95.2,Amerik HOTEL
528,Bonthe,SL,79.48,light rain,7.5264,-12.505,Bonthe Holiday Village
529,Janow Lubelski,PL,80.49,broken clouds,50.707,22.4104,Hotel Królewski
530,Dhidhdhoo,MV,79.57,light rain,6.8833,73.1,Dhidhoo beach
531,Marawi,PH,71.38,overcast clouds,7.9986,124.2928,Derogongan Residence
533,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
534,Agadir,MA,82.85,clear sky,30.4202,-9.5982,Iberostar Founty Beach
536,Bjelovar,HR,91.94,clear sky,45.8986,16.8489,Apartmani Borik
538,Rambha,IN,86.23,overcast clouds,19.5167,85.1,OTDC Panthanivas - Rambha
540,Bahia Honda,CU,84.79,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
543,Namatanai,PG,78.85,light rain,-3.6667,152.4333,Seagulls Inn Namatani
545,Tagusao,PH,81.16,broken clouds,9.1924,117.8141,Caycay future beach resort
547,Abbeville,FR,71.26,scattered clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
549,Dingle,PH,79.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
550,Omboue,GA,76.8,overcast clouds,-1.5746,9.2618,Hotel Olako
551,Leh,IN,74.97,clear sky,34.1667,77.5833,Hotel Ladakh Greens
552,Sena Madureira,BR,89.01,scattered clouds,-9.0656,-68.6569,Hotel Central
554,Semnan,IR,87.64,few clouds,35.5729,53.3971,Semnan Tourist Hotel
555,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
556,Nizwa,OM,82.54,moderate rain,22.9333,57.5333,Orient Apartments
557,Wajima,JP,74.48,broken clouds,37.4,136.9,Wajiima Onsen Yashio
558,Noumea,NC,75.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
562,Bac Lieu,VN,80.83,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
563,Saint-Junien,FR,79.38,overcast clouds,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
564,Shangrao,CN,77.27,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
566,Valentin Gomez Farias,MX,73.71,broken clouds,28.2167,-106.5833,
